#,Done,Description,Section,Mobile / Desktop / Both,Loom,Example
1,FALSE,Footer I:  Remove Rechtsdokumente,Footer,both,Link,-
2,FALSE,"Create 3 Subpages: Impressum, Datenschutz, AGB ",Footer,both,,"Impressum, Datenschutz, AGB you can copy but replace all with Scalecrafts Company Details, let Hoa check: Công Ty TNHH DH Ventures Vietnam
Số 31 ngõ 5 Lê Trọng Tấn Phường La Khê, Quận Hà Đông
Hanoi, 12122
Vietnam"
3,FALSE,Footer II: Replace Kontakt with a Button,Footer,both,,-
4,FALSE,Link all CTAs / Kontakt / Termin Vereinbaren with Link,General,both,,open in another window: https://calendly.com/dhventuresvietnam/30min
5,FALSE,Footer Text underneath Logo,Footer,both,,Replace Text: Crafted with ❤️ since 2020 – empowering agencies and brands to scale smarter
6,FALSE,Footer LinkedIn Logos,Footer,both,,Scalecraft + Hoa label and link it
7,FALSE,Footer Copyright change Text,Footer,both,,Copyright ® 2025 Scalecraft. Alle Rechte Vorbehalten
8,FALSE,Increase Size of Customer Box,Above the Fold,both,,
9,FALSE,Customer Box Text,Above the Fold,both,,4.8 Sterne aus 35+ Kundenerfahrungen (In Germany pay attention to uppercase and lowercase)
10,FALSE,Logo Scroller: Increase Snocksulting in Size,Above the Fold,both,,
11,FALSE,Decrease spacing between CTA and Scoller a bit,Above the Fold,both,,
12,FALSE,"""Case ansehen"" underneath the arrow + arrow more prominent",Cases,Mobile,,
13,FALSE,,,,,
14,FALSE,"Quote ""BAT Method"" increase Size",Zusammenarbeit,Mobile,,
15,FALSE,Responsiveness Desktop Half Screen Adjust,-,Desktop,,
16,FALSE,Über Uns Text Improvement,Über Uns,both,,"Stärkeres Agenturprodukt. Zufriedenheit, die sich auf deine Kunden überträgt. "
17,FALSE,Über Uns Timeline Improvement,Über Uns,both,,"10/2021
→ Start als Freelancer

2022
→ Erste Agenturkunden – Aufbau eines kleinen Teams (4 MA)

2023
→ Zusammenarbeit mit weiteren Agenturen – Team wächst auf 10 MA

2024
→ Skalierung & Prozessaufbau – 35 MA im Team

2025
→ Fokus auf Optimierung, Automatisierung & Qualitätssicherung"